id,department
0,Group01
1,Group01
7,Group14
8,Group14
9,Group14
11,Group14
12,Group14
14,Group04
17,Group01
18,Group01
19,Group14
43,Group14
44,Group14
53,Group04
65,Group04
73,Group01
74,Group01
85,Group01
93,Group04
95,Group04
120,Group01
129,Group04
133,Group04
141,Group14
161,Group14
167,Group04
168,Group04
172,Group04
176,Group04
177,Group01
183,Group04
197,Group04
198,Group04
199,Group04
200,Group04
201,Group04
202,Group04
203,Group04
206,Group04
207,Group04
213,Group14
215,Group01
218,Group01
219,Group01
220,Group01
221,Group01
222,Group01
223,Group01
224,Group01
225,Group01
226,Group01
227,Group01
228,Group01
232,Group04
246,Group14
247,Group14
248,Group01
249,Group14
256,Group04
264,Group14
265,Group14
266,Group14
267,Group14
270,Group04
275,Group04
276,Group04
280,Group04
290,Group04
291,Group04
292,Group04
293,Group14
294,Group04
297,Group01
307,Group01
308,Group01
309,Group01
310,Group01
311,Group01
312,Group01
313,Group01
314,Group01
315,Group01
316,Group01
317,Group01
324,Group14
332,Group14
341,Group01
358,Group14
359,Group14
360,Group14
362,Group14
365,Group14
374,Group14
399,Group04
401,Group04
403,Group04
406,Group14
407,Group14
413,Group04
414,Group01
415,Group01
419,Group04
421,Group14
425,Group04
426,Group04
430,Group14
440,Group04
441,Group14
449,Group01
450,Group04
451,Group14
452,Group14
457,Group04
458,Group04
459,Group01
464,Group04
466,Group14
468,Group01
479,Group01
484,Group04
486,Group04
487,Group14
488,Group14
493,Group04
496,Group14
498,Group14
499,Group14
500,Group14
501,Group14
502,Group14
503,Group14
504,Group14
505,Group14
506,Group14
510,Group14
515,Group04
516,Group01
517,Group01
522,Group04
523,Group04
525,Group14
526,Group04
529,Group14
530,Group14
534,Group04
542,Group04
543,Group04
544,Group04
555,Group14
556,Group04
558,Group14
562,Group04
563,Group04
565,Group14
566,Group14
567,Group04
568,Group04
569,Group14
570,Group14
572,Group04
573,Group14
574,Group04
576,Group04
584,Group04
585,Group04
600,Group04
602,Group14
603,Group01
605,Group01
608,Group14
611,Group04
620,Group04
623,Group04
626,Group04
629,Group01
645,Group01
649,Group14
650,Group01
655,Group04
658,Group14
661,Group14
664,Group04
666,Group14
672,Group14
674,Group14
675,Group01
688,Group04
689,Group04
694,Group04
696,Group01
697,Group01
699,Group14
700,Group14
702,Group04
705,Group04
706,Group04
707,Group14
714,Group04
720,Group14
727,Group04
729,Group14
731,Group01
732,Group04
734,Group01
739,Group14
743,Group01
744,Group04
749,Group04
754,Group14
764,Group01
765,Group14
775,Group01
789,Group04
790,Group04
791,Group04
797,Group01
798,Group01
801,Group04
802,Group04
804,Group14
805,Group14
813,Group04
817,Group04
822,Group04
823,Group14
827,Group14
829,Group04
830,Group14
833,Group14
835,Group04
836,Group04
840,Group04
843,Group04
844,Group04
846,Group01
850,Group04
852,Group01
856,Group14
872,Group01
874,Group04
893,Group14
902,Group04
904,Group01
905,Group01
909,Group04
910,Group04
912,Group14
913,Group14
916,Group01
922,Group14
936,Group04
938,Group04
940,Group04
951,Group14
956,Group14
957,Group14
959,Group04
961,Group04
965,Group04
967,Group14
973,Group14
992,Group04
996,Group14
998,Group14
1000,Group04
1002,Group01
